OA_MAIS,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_OTVEHWGT,GV_SPLIMIT,OA_AGE,OA_HEIGHT,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,GV_MODELYR,GV_WGTCDTR,OA_BAGDEPLY,OA_MANUSE,OA_SEX,VE_GAD1
0,1470,5,-29,915,2,1600,35,24,163,58,155,280,125,4.34,2004,Passenger Car,Deployed,0,Female,Front
0,1590,9,-5,108,4,1540,40,59,183,77,157,274,75,4.3018,2006,Passenger Car,Not Deployed,1,Male,Left
0,1210,14,-5,154,2,1780,25,72,170,78,146,264,65,3.8544,2004,Passenger Car,Deployed,0,Female,Left
0,1350,-30,11,832,2,1100,35,21,,,147,253,245,3.7191,2005,Passenger Car,Not Deployed,1,Male,Right
0,1410,0,-20,298,2,1450,25,57,188,95,148,262,135,3.8776,2002,Truck (<=6000 lbs.),Not Deployed,1,Male,Front
0,1810,-2,-14,231,4,2270,40,46,,,162,303,145,4.9086,2005,Truck (<=6000 lbs.),Not Deployed,1,Male,Right
0,1300,21,-4,309,2,1430,35,21,168,68,152,269,55,4.0888,2008,Passenger Car,Not Deployed,0,Female,Left
0,1430,0,-19,158,2,1300,35,34,168,73,153,278,,4.2534,2008,Passenger Car,Deployed,1,,
0,1490,3,-19,131,4,1800,40,21,173,82,153,270,125,4.131,2005,Passenger Car,Not Deployed,0,Female,Front
0,1800,-18,-3,381,2,1490,,75,178,86,159,293,215,4.6587,2002,Passenger Car,Not Deployed,0,Male,Right
0,1040,,,,2,2020,35,36,,,144,244,135,3.5136,2002,Passenger Car,Deployed,0,Female,Front
0,1870,,,,2,1520,35,36,180,102,152,265,105,4.028,2002,Truck (<=6000 lbs.),Not Deployed,0,Female,Left
0,1600,-3,-18,218,2,1570,35,44,170,104,156,262,145,4.0872,2008,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1520,4,-25,221,3,1540,25,27,178,91,152,275,125,4.18,2002,Passenger Car,Not Deployed,1,Male,Front
0,1430,,,,4,1580,45,20,160,64,154,278,,4.2812,2007,Passenger Car,Not Deployed,0,Female,Front
